pop	clust1	clust2	clust3	clust4
Netarts	0.2760	0.0318	0.3373	0.3548
Siletz	0.0507	0.8783	0.0341	0.0369
Siletz	0.5489	0.0236	0.2407	0.1868
Siletz	0.0346	0.8592	0.0581	0.0481
Tillamook	0.2777	0.0163	0.3803	0.3257
Tillamook	0.2189	0.0064	0.3065	0.4682
Tillamook	0.2506	0.0107	0.3247	0.4140
Tillamook	0.1100	0.0080	0.3468	0.5352
Tillamook	0.5486	0.0166	0.2037	0.2311
Tillamook	0.0726	0.0181	0.4076	0.5017
Tillamook	0.4644	0.0279	0.2761	0.2317
Tillamook	0.1130	0.0332	0.4244	0.4294
Tillamook	0.0924	0.0486	0.4415	0.4175
Tillamook	0.3860	0.0513	0.3007	0.2620
Tillamook	0.1035	0.1376	0.3844	0.3745
Tillamook	0.1841	0.0643	0.3978	0.3538
Tillamook	0.2208	0.0304	0.3750	0.3738
Tillamook	0.0968	0.0324	0.4092	0.4616
Tillamook	0.0987	0.0767	0.4046	0.4200
Tillamook	0.5125	0.0099	0.2476	0.2300
Tillamook	0.5336	0.0701	0.2089	0.1874
Tillamook	0.5101	0.0083	0.2520	0.2296
Tillamook	0.4027	0.0177	0.3034	0.2761
Tillamook	0.4433	0.0124	0.2581	0.2862
Tillamook	0.3100	0.0209	0.3279	0.3413
Tillamook	0.1198	0.0149	0.3920	0.4734
Tillamook	0.1450	0.0327	0.3945	0.4278
Tillamook	0.1382	0.0323	0.3921	0.4374
Tillamook	0.3692	0.0167	0.2792	0.3349
Tillamook	0.4513	0.0100	0.2751	0.2636
Tillamook	0.2377	0.0273	0.3493	0.3857
Tillamook	0.3110	0.0570	0.3003	0.3317
Tillamook	0.0973	0.1316	0.4385	0.3327
Tillamook	0.1123	0.0333	0.4377	0.4168
Tillamook	0.2827	0.0572	0.3784	0.2818
Tillamook	0.1018	0.0268	0.4627	0.4087
Tillamook	0.1133	0.0274	0.4556	0.4037
Tillamook	0.5445	0.0073	0.2159	0.2323
Tillamook	0.1002	0.0176	0.3993	0.4830
Tillamook	0.3779	0.0263	0.3407	0.2551
Tillamook	0.8034	0.0116	0.0919	0.0932
Tillamook	0.8015	0.0117	0.0929	0.0940
Tillamook	0.3931	0.0339	0.3150	0.2581
Tillamook	0.6259	0.0186	0.1824	0.1731
Tillamook	0.1910	0.0509	0.3778	0.3804
Tillamook	0.3112	0.0430	0.3441	0.3017
Tillamook	0.2707	0.0224	0.3600	0.3469
Tillamook	0.5165	0.0892	0.1932	0.2012
Tillamook	0.2974	0.0211	0.3067	0.3747
Tillamook	0.2469	0.0306	0.3462	0.3764
Tillamook	0.1710	0.0507	0.3951	0.3831
Tillamook	0.3590	0.0180	0.3196	0.3034
Tillamook	0.2231	0.0291	0.3541	0.3937
Tillamook	0.1126	0.1036	0.4284	0.3554
