pop	clust1	clust2	clust3	clust4	clust5	clust6
Nehalem	0.2798	0.0044	0.2163	0.2467	0.0121	0.2406
Nehalem	0.1248	0.2845	0.2393	0.2000	0.0207	0.1307
Nehalem	0.1477	0.0346	0.2844	0.3177	0.0100	0.2056
Nehalem	0.2183	0.0077	0.2343	0.2843	0.0079	0.2475
Nehalem	0.2185	0.0166	0.2955	0.2452	0.0014	0.2228
Nehalem	0.2261	0.0250	0.2970	0.2213	0.0100	0.2206
Nehalem	0.4200	0.0259	0.1825	0.2129	0.0051	0.1536
Nehalem	0.2618	0.0293	0.2170	0.2809	0.0039	0.2071
Nehalem	0.2153	0.0159	0.2988	0.2717	0.0026	0.1958
Nehalem	0.3259	0.0183	0.2156	0.2499	0.0069	0.1835
Nehalem	0.0963	0.0310	0.3022	0.2538	0.0083	0.3085
Nehalem	0.4087	0.0057	0.1830	0.2013	0.0026	0.1987
Nehalem	0.0896	0.4461	0.1349	0.1489	0.0511	0.1294
Nehalem	0.1059	0.0146	0.3720	0.2759	0.0039	0.2278
Nehalem	0.4016	0.0186	0.1773	0.2236	0.0077	0.1712
Nehalem	0.3363	0.0901	0.2071	0.2001	0.0024	0.1640
Nehalem	0.4718	0.0196	0.1542	0.1666	0.0019	0.1860
Nehalem	0.1375	0.0154	0.3188	0.2807	0.0037	0.2439
Nehalem	0.1481	0.0433	0.3115	0.3113	0.0089	0.1769
Nehalem	0.4323	0.0133	0.1891	0.1849	0.0057	0.1746
Nehalem	0.0010	0.0010	0.0010	0.0010	0.9950	0.0010
Nehalem	0.2318	0.0116	0.2795	0.2855	0.0069	0.1847
Nehalem	0.2457	0.0207	0.2537	0.2258	0.0087	0.2454
Netarts	0.0011	0.0010	0.0010	0.0010	0.9949	0.0010
Netarts	0.4471	0.0117	0.1614	0.2090	0.0089	0.1620
Netarts	0.0937	0.0291	0.1055	0.1529	0.5351	0.0837
Netarts	0.2689	0.0171	0.2354	0.2944	0.0021	0.1820
Netarts	0.1984	0.0544	0.2445	0.2919	0.0024	0.2084
Netarts	0.1824	0.0117	0.2492	0.2996	0.0020	0.2552
Netarts	0.1256	0.4017	0.1739	0.1802	0.0046	0.1140
Netarts	0.2230	0.0319	0.2219	0.2797	0.0024	0.2411
Netarts	0.2479	0.0146	0.1712	0.2266	0.0019	0.3379
Netarts	0.5096	0.0070	0.1413	0.1660	0.0064	0.1697
Netarts	0.1171	0.0044	0.2791	0.2571	0.0039	0.3385
Netarts	0.3429	0.0069	0.1921	0.2523	0.0020	0.2039
Netarts	0.1695	0.0180	0.2719	0.3458	0.0101	0.1847
Siletz	0.0316	0.8832	0.0274	0.0257	0.0091	0.0229
Siletz	0.5004	0.0116	0.1176	0.1489	0.0020	0.2196
Siletz	0.0236	0.8632	0.0314	0.0326	0.0136	0.0357
Tillamook	0.1956	0.0099	0.2336	0.2953	0.0030	0.2625
Tillamook	0.1353	0.0040	0.2615	0.2556	0.0047	0.3389
Tillamook	0.2240	0.0066	0.2814	0.2915	0.0041	0.1924
Tillamook	0.1254	0.0056	0.3537	0.3225	0.0059	0.1869
Tillamook	0.5915	0.0101	0.1107	0.1167	0.0036	0.1673
Tillamook	0.0680	0.0114	0.3857	0.2824	0.0031	0.2493
Tillamook	0.3797	0.0179	0.2156	0.1994	0.0074	0.1800
Tillamook	0.0834	0.0193	0.3645	0.2982	0.0040	0.2306
Tillamook	0.0823	0.0264	0.3679	0.3086	0.0023	0.2125
Tillamook	0.2016	0.0334	0.2523	0.2802	0.0266	0.2060
Tillamook	0.0822	0.0783	0.3382	0.3004	0.0020	0.1990
Tillamook	0.1386	0.0323	0.2814	0.3114	0.0017	0.2346
Tillamook	0.1737	0.0183	0.2871	0.2798	0.0046	0.2366
Tillamook	0.1052	0.0174	0.3278	0.2919	0.0051	0.2525
Tillamook	0.1104	0.0413	0.3218	0.3061	0.0043	0.2161
Tillamook	0.6677	0.0056	0.0866	0.0717	0.0010	0.1674
Tillamook	0.4519	0.0420	0.1473	0.1522	0.0104	0.1961
Tillamook	0.6672	0.0047	0.0854	0.0730	0.0010	0.1687
Tillamook	0.5417	0.0109	0.1337	0.1240	0.0017	0.1881
Tillamook	0.3604	0.0074	0.2164	0.1973	0.0317	0.1867
